trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
92,smote,0.5,condensednn,auto,0.9976822359830082,COMPLETE,2024-04-11 23:23:47.235167,2024-04-11 23:24:11.294408,24.059241
93,tvae,1,onesidedselection,auto,1.0,COMPLETE,2024-04-11 23:24:11.330065,2024-04-11 23:24:42.643482,31.313417
94,adasyn,0.25,condensednn,0,-1.0,ERROR,2024-04-11 23:24:42.657470,2024-04-11 23:24:42.718693,0.061223
95,adasyn,0.5,condensednn,0.5,-1.0,ERROR,2024-04-11 23:24:42.732908,2024-04-11 23:24:42.790924,0.058016
96,copulagan,1,nearmiss,0.25,1.0,COMPLETE,2024-04-11 23:24:42.804717,2024-04-11 23:29:52.078933,309.274216
97,smote,0,clustercentroid,0,-1.0,ERROR,,,0.0
98,smote,0,tomeklinks,0,-1.0,ERROR,,,0.0
99,copulagan,0,clustercentroid,0.125,0.992913452401665,COMPLETE,2024-04-11 23:34:03.156163,2024-04-11 23:34:46.793315,43.637152
100,ctgan,1,tomeklinks,0.125,0.9976883030230338,COMPLETE,2024-04-11 23:34:46.807096,2024-04-11 23:35:31.872565,45.065469
101,fastml,1,condensednn,auto,0.9954095755986045,COMPLETE,2024-04-11 23:35:31.897395,2024-04-11 23:36:11.967243,40.069848
102,adasyn,0.5,random,auto,-1.0,ERROR,2024-04-11 23:36:11.983027,2024-04-11 23:36:12.041781,0.058754
103,smote,2,editednn,0.25,0.5942799400774124,COMPLETE,2024-04-11 23:36:12.056178,2024-04-11 23:36:32.367500,20.311322
104,ctgan,0,tomeklinks,auto,0.9975932405321575,COMPLETE,2024-04-11 23:36:32.382328,2024-04-11 23:37:21.079726,48.697398
105,smote,2,instancehardness,0.25,0.9697146808749352,COMPLETE,2024-04-11 23:37:21.128827,2024-04-11 23:38:22.153198,61.024371
106,smote,auto,condensednn,0.0625,1.0,COMPLETE,2024-04-11 23:38:22.192246,2024-04-11 23:39:31.270643,69.078397
107,fastml,auto,editednn,0.125,0.43655791969828694,COMPLETE,2024-04-11 23:39:31.296314,2024-04-11 23:40:34.543617,63.247303
108,tvae,0.25,editednn,0.25,0.8260212616696346,COMPLETE,2024-04-11 23:40:34.572798,2024-04-11 23:41:09.467168,34.89437
109,adasyn,0.25,editednn,0.125,-1.0,ERROR,2024-04-11 23:41:09.499600,2024-04-11 23:41:09.665285,0.165685
110,copulagan,1,tomeklinks,0.25,1.0,COMPLETE,2024-04-11 23:41:09.696056,2024-04-11 23:42:07.492817,57.796761
111,random,0.25,clustercentroid,0,1.0,COMPLETE,2024-04-11 23:42:07.518414,2024-04-11 23:44:27.115279,139.596865
112,random,2,clustercentroid,0.0625,0.9952402135691046,COMPLETE,2024-04-11 23:44:27.170319,2024-04-11 23:49:36.793638,309.623319
113,tvae,0.25,condensednn,auto,0.9976728141599723,COMPLETE,2024-04-11 23:49:36.817515,2024-04-11 23:50:09.399518,32.582003
114,random,auto,editednn,0.25,0.8020084692378574,COMPLETE,2024-04-11 23:50:09.427623,2024-04-11 23:50:35.017895,25.590272
115,ctgan,1,editednn,0.125,0.569045077934095,COMPLETE,2024-04-11 23:50:35.041473,2024-04-11 23:51:05.046747,30.005274
116,smote,0.25,onesidedselection,0,1.0,COMPLETE,2024-04-11 23:51:05.082608,2024-04-11 23:51:34.856793,29.774185
117,ctgan,1,condensednn,0.5,0.9976779254021656,COMPLETE,2024-04-11 23:51:34.871489,2024-04-11 23:52:17.725203,42.853714
118,adasyn,auto,onesidedselection,0.125,-1.0,ERROR,2024-04-11 23:52:17.757015,2024-04-11 23:52:18.086666,0.329651
119,random,0.5,tomeklinks,0.25,1.0,COMPLETE,2024-04-11 23:52:18.132779,2024-04-11 23:53:06.103031,47.970252
120,tvae,0.5,condensednn,0.125,0.9976822359830082,COMPLETE,2024-04-11 23:53:06.117795,2024-04-11 23:53:53.010395,46.8926
121,gaussiancopula,0.25,nearmiss,0,1.0,COMPLETE,2024-04-11 23:53:53.054167,2024-04-11 23:54:51.211711,58.157544
122,adasyn,0.5,tomeklinks,0.125,-1.0,ERROR,2024-04-11 23:54:51.239704,2024-04-11 23:54:51.371660,0.131956
123,tvae,0.25,clustercentroid,0.125,1.0,COMPLETE,2024-04-11 23:54:51.412703,2024-04-11 23:55:41.975807,50.563104
124,adasyn,1,onesidedselection,0,-1.0,ERROR,2024-04-11 23:55:41.991134,2024-04-11 23:55:42.325464,0.33433
125,ctgan,0,editednn,0.5,0.7423364034921087,COMPLETE,2024-04-11 23:55:42.340732,2024-04-11 23:56:11.797844,29.457112
126,fastml,0.5,editednn,0.25,0.781770533821852,COMPLETE,2024-04-11 23:56:11.831877,2024-04-11 23:56:48.854414,37.022537
127,smote,1,nearmiss,auto,0.9953202118695076,COMPLETE,2024-04-11 23:56:48.872798,2024-04-11 23:57:29.668325,40.795527
128,smote,1,condensednn,0.0625,1.0,COMPLETE,2024-04-11 23:57:29.691507,2024-04-11 23:58:11.014896,41.323389
129,ctgan,0.25,nearmiss,0.125,0.9976575303753685,COMPLETE,2024-04-11 23:58:11.049275,2024-04-11 23:59:13.751653,62.702378
130,fastml,0,tomeklinks,auto,0.9975932405321575,COMPLETE,2024-04-11 23:59:13.791550,2024-04-11 23:59:50.109577,36.318027
131,copulagan,0,nearmiss,0.125,0.9950724679855393,COMPLETE,2024-04-11 23:59:50.125974,2024-04-12 00:00:11.548976,21.423002
132,random,0.5,onesidedselection,0.5,0.9953202118695076,COMPLETE,2024-04-12 00:00:11.564596,2024-04-12 00:00:33.708545,22.143949
133,fastml,0.5,nearmiss,0.5,1.0,COMPLETE,2024-04-12 00:00:33.723223,2024-04-12 00:01:07.868744,34.145521
